순위,상품번호,도서명,부제목,저자,출판사,출판일,판매가,정가,적립포인트,판매지수,평점,리뷰수
461,146327472,러닝 랭체인,"랭체인과 랭그래프로 구현하는 RAG, 에이전트, 인지 아키텍처","메이오 오신, 누노 캄포스 저/강민혁 역",한빛미디어,2025년 05월,25200,28000,1400,2400,9.5,26
462,146051138,코딩 자율학습 컴퓨터 구조와 운영체제,이해하기 쉽게 체계적으로 정리한 CS 자습서,기술노트 알렉,길벗,2025년 05월,23400,26000,1300,870,10.0,20
463,145967474,AI x 창의성: 미술·혁신·교육,"생성형 AI와 창의성의 융합, 미술교육의 새로운 장",박지숙,아트브릿지,2025년 04월,17820,19800,990,597,0.0,0
464,145963641,아이패드 드로잉으로 기록하는 일상의 조각들,나 혼자 조금씩 그려보는 열두 달 소품과 풍경 그림,이이오,한빛라이프,2025년 05월,19800,22000,1100,1614,10.0,10
465,145761422,주니어 백엔드 개발자가 반드시 알아야 할 실무 지식,시행착오를 줄여주는 실무 밀착 백엔드 개발 가이드,최범균,한빛미디어,2025년 04월,25200,28000,1400,5100,9.8,28
466,145612410,모두의 딥러닝,누구나 쉽게 이해하는 딥러닝,조태호,길벗,2025년 04월,26100,29000,1450,3078,10.0,13
467,145239043,맥킨지의 로지컬 라이팅,비즈니스를 위한 논리적 글쓰기 도감,아카바 유지 저/이지현 역,유엑스리뷰,2025년 04월,20700,23000,1150,606,9.7,33
468,144687205,생성 AI를 활용한 나만의 콘텐츠 만들기,"텍스트, 이미지, 오디오, 비디오 생성 AI 활용 가이드북",김민후,영진닷컴,2025년 04월,22500,25000,1250,792,10.0,5
469,144087363,쉽고 빠르게 익히는 실전 LLM,"최신 LLM 활용법부터 RAG, 멀티모달 트랜스포머, RLHF/RLAIF까지",시난 오즈데미르 저/신병훈 역,한빛미디어,2025년 03월,27000,30000,1500,837,8.4,14
470,143533211,선생님을 위한 8282 업무 자동화 with AI+파이썬+노코드,학교 수업·행정 자동화의 모든 것! 선생님을 위한 72가지 업무 혁신 가이드,"강우혁, 김송희, 서승희, 송석리, 한솔 저 외 2명
                                        
정보 더 보기/감추기



강우혁
김송희
서승희
송석리
한솔
한준구
황수빈",골든래빗,2025년 04월,25200,28000,1400,3177,10.0,6
471,143343835,"UX/UI 디자인 완벽 가이드: UI, 인터랙션, 프로토타이핑 편","이론부터 실무까지, 한 권으로 완성하는 UX/UI 설계 노하우","조성봉, 이정은",위키북스,2025년 03월,25200,28000,1400,402,10.0,2
472,143081338,일반통계학,,서울대학교 자연과학대학 통계학과,한빛아카데미,2025년 03월,35000,35000,0,2046,0.0,0
473,142996257,개념탑재 오토캐드,기초 4일 완성,"정인수, 이승열, 김애림, 이예진",피앤피북,2025년 02월,22500,25000,1250,1722,0.0,0
474,142690359,Kotlin in Action 2/e,코틀린 컴파일러 개발자가 직접 알려주는 코틀린 언어 핵심,"세바스티안 아이그너, 로만 엘리자로프, 스베트라나 이사코바, 드미트리 제메로프 저/오현석 역",에이콘출판사,2025년 02월,43200,48000,2400,1662,10.0,2
475,141828205,띠웅's 타이포그래피 with 프로크리에이트,몽글몽글 글씨를 그려요,띠웅,다산스마트에듀,2025년 01월,22500,25000,1250,2370,9.8,18
476,141262171,된다! 맥북&아이맥 - 맥OS 세쿼이아 판,,"쌤쌤티비, 케이트",이지스퍼블리싱,2025년 01월,17100,19000,950,2022,10.0,7
477,140411525,150분이면 충분한 중고등학교 기초 수학,AI 학습을 위한 최소한의 중고등 기초 수학,요네다 마사타카 저/손민규 역,제이펍,2025년 01월,18000,20000,1000,1830,9.6,43
478,140084477,만들면서 배우는 아두이노와 40개의 작품들,기초 작품부터 다양한 사물인터넷 및 인공지능 작품 만들기까지,장문철,앤써북,2024년 12월,22950,25500,1270,1836,10.0,3
479,139898019,파이썬으로 탐구하는 지구과학 데이터 분석 & 시각화,그래프로 그려보는 지구별 자연법칙,"심원재, 손현준",비제이퍼블릭(BJ퍼블릭),2024년 12월,28800,32000,1600,888,10.0,9
480,139893349,고작 다섯 명이 한 말을 어떻게 믿어요?,정성 연구에 신뢰를 더하는 UX 리서치 전략,송라영,한빛미디어,2024년 12월,20700,23000,1150,480,10.0,24
481,139777149,앱인벤터로 20가지 인공지능 앱 만들기 with ChatBot과 생성형AI,"챗GPT, 뤼튼, 패들렛 활용","김수연, 전진아, 장문철",앤써북,2024년 12월,16920,18800,940,2382,10.0,4
482,139638401,실무에 바로 쓰는 일잘러의 제안서 작성법,제안서부터 프레젠테이션까지 치열한 경쟁에서 승리하기 위한 실전 가이드,박서윤,제이펍,2024년 11월,15120,16800,840,984,9.9,15
483,139591837,AGI의 시대,"인간을 초월한 인공지능, AGI를 논하다",한상기,한빛미디어,2024년 11월,19800,22000,1100,1860,9.5,20
484,136374348,된다! 7일 실무 워드,현업에서 진짜 쓰는 필수 기능 81,이충욱,이지스퍼블리싱,2024년 11월,16200,18000,900,1140,10.0,9
485,135854770,한 권으로 배우는 게임 프로그래밍,"수학과 물리, 자료구조와 알고리즘, 디자인 패턴으로 익히는 게임 개발 필수 지식","박태준, 박효재, 윤하연",한빛미디어,2024년 10월,25200,28000,1400,1230,9.7,12
486,135722461,이게 되네? 업무 자동화 미친 활용 앱스 스크립트 with 챗GPT,"업무부터 일상까지, 3일 작업 한 방에 처리하는 45가지 미친 자동화 치트키",서휘승,골든래빗,2024년 11월,28800,32000,1600,2250,10.0,3
487,135441079,규칙으로 배우는 임베디드 시스템: 기초 DSP와 제어 시스템,,장선웅,북랩,2024년 10월,25200,28000,1400,1254,10.0,2
488,135223090,무조건 쿠팡에서 팔아라 그래야 산다,성공 셀러를 위한 쿠팡 판매의 정석!,"하지혜, 오대장",우리네삶,2026년 01월,21600,24000,1200,4200,10.0,46
489,134648807,밑바닥부터 시작하는 딥러닝 5,10단계로 익히는 이미지 생성 모델의 원리,사이토 고키 저/개앞맵시 역,한빛미디어,2024년 10월,29700,33000,1650,1980,9.7,20
490,133892049,그림으로 이해하는 시스템 설계,"시스템 설계, 쉽고 재미있게 시작하자!",이시구로 나오키 저/서수환 역,길벗,2024년 09월,19800,22000,1100,1050,10.0,20
491,133328190,콘셉트로 풀어내는 소프트웨어 디자인,사용자 중심의 소프트웨어 디자인을 위한 실용 가이드,다니엘 잭슨 저/이정표 역,에이콘출판사,2024년 09월,25200,28000,1400,210,0.0,0
492,131189891,잘 읽히는 보고서 문장의 비밀,"1,000만 직장인을 위한 보고서 문장 기술 27가지",임영균,한빛미디어,2024년 08월,16200,18000,900,1770,9.7,35
493,129133723,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,한 권으로 끝내는 웹 기본 교과서,고경희,이지스퍼블리싱,2024년 07월,28800,32000,1600,3702,9.6,86
