순위,상품번호,도서명,부제목,저자,출판사,출판일,판매가,정가,적립포인트,판매지수,평점,리뷰수
717,180162710,5분 제미나이,"기획서는 더 빠르게, 앱 개발은 더 쉽게, 콘텐츠는 더 완벽하게, 멀티모달, 나노바나나, 캔버스, 딥 리서치,Veo,Gems,Google Docs, NotebookLM, Google AI 검색, 모바일 Gemini",오종현,한빛미디어,2026년 02월,21600,24000,1200,2286,9.9,34
718,180158155,슬기로운 교사 생활 구글 클래스룸 수업 활용법,"구글 클래스룸, 워크스페이스로 끝내는 스마트한 학급 운영! 제미나이, 노트북LM으로 AI 수업 설계와 자료 제작! 교실과 교무실을 연결하는 에듀테크 활용 가이드",유수근,골든래빗,2026년 03월,24120,26800,1340,1158,9.9,108
719,180138780,C++로 배우는 자료구조 및 알고리즘,,Frank M. Carrano 저 / 송하윤 등역,프로텍미디어,2026년 02월,44000,44000,0,108,0.0,0
720,179607096,가장 쉬운 AI 앱 빌더 DIfy 실무 가이드,,오노 사토시 저/두발타고 역,AK(에이케이 커뮤니케이션즈),2026년 02월,40850,43000,1290,240,0.0,0
721,179605419,"문제 해결의 힘, 컴퓨팅 사고력",Computational Thinking,한옥영,성균관대학교출판부(SKKUP),2026년 02월,25000,25000,0,108,0.0,0
722,178728913,"세상을 복제하는 공장, Physical AI 데이터팩토리",,손병희,꾸그티처스,2026년 02월,13500,15000,750,606,2.0,2
723,178420804,요즘 디자인을 위한 포토샵 & 일러스트레이터 (큰글자책),실무 프로젝트로 따라 하며 배우는 디자인 실습 워크북,서영열,시프트,2026년 02월,85000,85000,2550,72,0.0,0
724,178332725,누구나 쉽게 따라 하는 디지털 & AI,일상에서 바로 쓰는 스마트폰 AI가이드,"이정화, 남호정, 최상국, 하나",디지털콘텐츠그룹,2026년 02월,16200,18000,900,642,0.0,0
725,178093876,인벤터 설계,AUTODESK INVENTOR 인벤터 3D CAD 모델링을 위한 기본서,"홍성기, 강민정",성안당,2026년 02월,24300,27000,1350,156,0.0,0
726,177855321,포지션으로 읽는 리그오브레전드,리그 오브 레전드의 중급 및 응용 교재,홍승표,가나북스,2026년 03월,21600,24000,1200,390,10.0,4
727,177293894,내 코드가 불안한 개발자를 위한 좋은 코드의 기준,AI 시대에도 변치 않는 코드 선별과 유지보수 원칙,모리 아츠시 저/안동현 역,프리렉,2026년 02월,22500,25000,1250,216,10.0,4
728,177288116,엑셀로 시작하는 데이터 분석과 업무 자동화,,김철,영진닷컴,2026년 02월,28800,32000,1600,1134,10.0,18
729,177220266,AI와 함께라서,XYZ세대 공감 프로젝트 2,"최원설, 이재하, 고은비",지식터,2026년 01월,18000,18000,540,336,10.0,3
730,177123164,어르신들을 위한 스마트폰 기초교실,내 손 안의 1등 비서! 스마트폰 제대로 활용하기,디지털콘텐츠그룹 편집부,디지털콘텐츠그룹,2026년 02월,14400,16000,800,840,0.0,0
731,177114666,나노바나나로 AI툰 제작하기,,김한재,비엘북스,2026년 02월,28800,32000,1600,2016,10.0,14
732,177078746,인간중심 AI,,권유빈,커뮤니케이션북스,2026년 02월,12000,12000,0,150,0.0,0
733,177059661,허깅페이스로 배우는 멀티모달 모델,"이미지 이해부터 생성, 파인튜닝까지","이정인, 정우준",디지털북스,2026년 03월,19800,22000,1100,360,10.0,2
734,176921133,마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷 (큰글자책),"릴스 마법사 롱제이의 인스타그램, 유튜브 채널 운영을 위한 숏폼 영상 촬영 편집 꿀팁!",김지희,시프트,2026년 02월,48000,48000,0,246,0.0,0
735,176920892,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오 (큰글자책)","음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!","현병욱(오땡큐), 신수진",시프트,2026년 02월,39000,39000,0,258,0.0,0
736,176914166,프리미어 프로 + 애프터 이펙트 CC 2026 무작정 따라하기,,"전은재, 민지영, 문수민, 앤미디어",길벗,2026년 02월,24300,27000,1350,1260,9.7,26
737,176914164,기본기부터 다시 새기는 러스트 특강,좋은 취향을 갖춘 러스트 개발자로 성장하는 길잡이,욘 옝세 저/장현희 역,인사이트(insight),2026년 02월,29700,33000,1650,204,0.0,0
738,176538801,팔란티어처럼 해체하고 연결하고 장악하라,"비즈니스를 압도적 결과로 이끄는 유일한 AI 운영체제, 온톨로지",정관영,골든래빗,2026년 02월,21600,24000,1200,3945,10.0,62
739,175912211,생성형AI 프롬프트 디자인,AI를 몰라도 AI로 돈 벌 수 있다,한국생성형AI연구원,광문각출판미디어,2026년 02월,30000,30000,0,528,0.0,0
740,175863613,아두이노 프로그래밍,피지컬 컴퓨팅과 C언어로 완성하는,"강성묵, 정보권",생능출판사,2026년 01월,35000,35000,0,222,0.0,0
741,175523653,"AI로 차트, 그래프, 인포그래픽 한 번에 끝내기","보고서ㆍ제안서ㆍ기획서, 단번에 OK 받는 실전 업무 시각화",이현,천그루숲,2026년 01월,16200,18000,900,1500,10.0,16
742,175392034,그림으로 배우는 가상화 구조,,"스즈키 켄지, 무네무라 타쿠미, 마루야마 카츠야스, 오우 쇼 저/김성훈 역",영진닷컴,2026년 01월,15300,17000,850,468,9.6,10
743,175232277,"우리, 프로그래머들 We, Programmers",AI 시대에 잊혀 가는 ‘프로그래머 정신’을 다시 깨우다,로버트 C. 마틴 저/최희철 역,길벗,2026년 01월,27900,31000,1550,2370,9.9,19
744,175226784,"IT@CookBook, 유니티 입문",2D & 3D 게임 제작으로 배우는 Unity,"이종원, 신유철, 이승환",한빛아카데미,2026년 01월,33000,33000,0,312,2.0,1
745,175226781,출근길에 읽고 퇴근길에 완성하는 바이브 코딩,"IT 지식부터 웹사이트, 챗봇 앱 개발까지",노승헌,더 타이즈,2026년 02월,19800,22000,1100,996,0.0,0
746,175133788,AI 프로젝트 100% 성공을 위한 체크리스트 17,"비즈니스 성장을 위한 AI 프로덕트의 기획부터 설계, 성능 평가까지 단계별 전략",유진호,책만,2026년 01월,25200,28000,1400,3408,9.9,18
747,175122641,AI 디자인 활용백과,내가 원하는 이미지를 뽑기 위한 미드저니&챗GPT&나노바나나 디자인 워크북!,채시은,스마트북스,2026년 01월,22500,25000,1250,936,10.0,2
748,175110074,심리상담과 AI의 융합 (큰글자책),,이혜숙,커뮤니케이션북스,2026년 01월,25000,25000,0,84,0.0,0
749,174795790,네이버 블로그 역제안 가이드,협찬 기회를 직접 만드는 마케터C의 역제안 시스템,마케터C(김명경),한빛미디어,2026년 02월,19800,22000,1100,1182,9.8,44
750,174753625,마인크래프트 블록 완벽 가이드,,Mojang Studio 저/강세중 역,영진닷컴,2026년 01월,22500,25000,1250,1182,10.0,5
751,174267330,MK에디션 CES 2026,피지컬 AI의 시대,매일경제 CES 특별취재팀,매일경제신문사,2026년 01월,18000,20000,1000,2814,10.0,2
752,174031964,디지털 게임 레벨 디자인 가이드,,김익환,다윈의서재,2026년 01월,65000,65000,3250,96,0.0,0
753,174028749,AI와 심리적 안정감,,원미영,커뮤니케이션북스,2026년 01월,12000,12000,0,120,0.0,0
754,173183477,인공지능이 답할 때 교육은 무엇을 묻는가,AI가 채우지 못한 교육의 영토,함영기,에듀니티교육연구소(에듀니티),2026년 01월,18000,20000,1000,4770,10.0,8
755,173033853,모던 API 아키텍처 설계 전략,"실전 사례로 배우는 API 아키텍처의 설계와 전환, 구현과 운영까지","제임스 고프, 대니얼 브라이언트, 매튜 어번 저/장현희 역",책만,2026년 01월,28800,32000,1600,2142,9.0,2
756,172532517,포토샵 & 일러스트레이터 & 인디자인 CC 2026,한 권으로 끝내는 디자인 교과서,"김경미, 최리진",생능북스,2026년 01월,22500,25000,1250,1602,9.9,34
757,171651782,코틀린&스프링 부트로 개발은 처음인데요,단계별로 학습하는 백엔드 실전 프로젝트,정보근,더 타이즈,2026년 01월,29700,33000,1650,432,0.0,0
758,171013891,코딩런 반려동물키우기  with 엔트리,,놀이교육콘텐츠랩,마린북스,2025년 12월,13500,15000,750,474,0.0,0
759,170998602,포토샵+일러스트레이터 CC 2026 무작정 따라하기,"파이어플라이, 나노바나나, 토파즈 기가픽셀","문수민, 민지영, 앤미디어, 전은재",길벗,2026년 01월,23400,26000,1300,3138,9.8,62
760,170378306,현직교사가 만든 가장 쉬운 미리캔버스 수업 활용! MiriCanvas(미리캔버스)로 무엇이든 만들 수 있다,교사를 위한 미리캔버스 수업 활용,"김동은, 김효민, 박채린, 이희정, 임준열",광문각출판미디어,2025년 12월,21000,21000,0,1164,9.8,30
761,168871803,리더는 AI에게 질문하지 않는다,새로운 가치를 만드는 리더를 위한 프롬프트 설계와 큐레이션 기술,김희연,북피움,2026년 01월,20700,23000,1150,2901,0.0,0
762,168759478,이펙티브 타입스크립트 2판,동작 원리의 이해와 구체적인 조언 83가지,댄 밴더캄 저/장원호 역,인사이트(insight),2025년 12월,31500,35000,1750,660,0.0,0
763,168451090,"요즘 바이브 코딩 v0 + 커서 입문 PRD 기획·개발·배포, 일주일 완성","인공지능 코딩, vercel, 기획, PRD, 설계, 인증, 배포, QR·바코드 생성 앱, 챗GPT, DeepL 번역 클론 앱, API, 리팩터링, 수파베이스 연동",김동학,골든래빗,2026년 01월,25200,28000,1400,1440,9.4,7
764,168263935,AI 잘 쓰는 디자이너,"나노 바나나부터 미드저니, 피그마, 캡컷, 수노, 런웨이까지!",전하린,이지스퍼블리싱,2025년 12월,18900,21000,1050,2742,10.0,11
765,168228070,따라 하면서 완성하는 AWS 인프라 구축 입문,"웹 서버 설치부터 글로벌 네트워크 구축까지, 실제 사례로 배우는 아마존 웹 서비스 실전 활용법",최진영(럭키바닐라 3세),위키북스,2026년 01월,31500,35000,1750,828,0.0,0
766,168226328,"Dify, 코딩 없이 AI 앱 개발의 시작",RAG·LLM 워크플로우 기반 에이전트로 완성하는 실무형 AI 시스템,"멀티코어, 조준희, 강장묵, 이상한, 윤철희",프리렉,2025년 12월,22500,25000,1250,702,10.0,4
767,167785232,일잘러의 무기가 되는 엑셀 대시보드,실무 데이터 시각화부터 보고서 자동화까지! 반복 보고 업무에서 벗어나는 대시보드 구성법,최준선,한빛미디어,2025년 12월,24300,27000,1350,744,9.4,7
768,167600356,주얼리 디자인을 위한 미드저니(Midjourney) 가이드,,김규승,청담북스,2025년 11월,23750,25000,500,72,0.0,0
769,167584729,AI 자율학습 밑바닥부터 배우는 AI 에이전트,프레임워크 없이 5가지 워크플로 패턴으로 배우는 에이전트 설계 원리,다비드스튜디오,길벗,2025년 12월,21600,24000,1200,1860,9.6,20
770,167582352,피지컬 AI 컴퓨팅 센서편,,"김석진, 박경민, 신승호",골든벨,2026년 01월,31350,33000,660,438,10.0,1
771,167496127,AI와 언어학,,이은송,커뮤니케이션북스,2025년 12월,12000,12000,0,150,0.0,0
772,167455912,키득키득반반한 코딩 어린이스크래치&엔트리with 인터넷+AI,,놀이교육콘텐츠랩,마린북스,2025년 11월,12600,14000,700,960,0.0,0
773,167400777,AI와 패션 디자인 (큰글자책),,"마진주, 정연이",커뮤니케이션북스,2025년 12월,25000,25000,0,60,0.0,0
774,167388454,키득키득 반반한 OA 파워포인트&한글 with 인터넷+AI,,놀이교육콘텐츠랩,마린북스,2025년 11월,12600,14000,700,1644,0.0,0
775,167387442,AI 법률문서 작성법 : 형사사건편,,김종엽,박영사,2025년 12월,28000,28000,0,714,6.0,2
776,167384326,요즘 바이브 코딩 제미나이 CLI 완벽 가이드,"인공지능 코딩, AI 네이티브 개발, LLM, 페르소나, 작업, 맥락, GEMINI.md, 컨텍스트 윈도우, 인증 방법, 요금제, 워크플로, 프로젝트 설계, 자동화, 프로젝트 컨텍스트, 대용량 입력 처리, 헤드리스 모드, Git Bash",김진환,골든래빗,2025년 12월,23400,26000,1300,4566,10.0,80
777,167131962,Do it! HTML+CSS 웹 표준의 정석,탄탄한 웹 기본기를 위한 교과서,고경희,이지스퍼블리싱,2025년 11월,26550,29500,1470,654,10.0,12
778,165483454,한 권으로 끝내는 올인원 피그마,기획자·디자이너·개발자를 위한 반응형 웹 제작 실습 가이드,오시내,제이펍,2025년 12월,31500,35000,1750,1392,10.0,1
779,165325500,현직교사가 만든 가장 쉬운 캔바 수업 활용! 캔바로 무엇이든 만들 수 있다,교사를 위한 캔바 수업 활용,"이서영, 유상숙, 양지현, 이상현",광문각출판미디어,2025년 11월,19000,19000,0,2568,9.8,38
780,165140030,Prisma로 배우는 TypeScript 데이터베이스 프로그래밍 Prisma ORM 입문,,이규호,콩콩 컴퍼니,2025년 10월,29400,29400,0,96,0.0,0
781,164912355,공공기관 업무혁신을 위한 AI플레이북,,"신철, 김용환, 권영우, 최은호, 전영달, 윤기영, 김근오",6G웰니스,2025년 11월,20700,23000,1150,108,0.0,0
782,164773671,AI와 무용 교육,,김경미,커뮤니케이션북스,2025년 11월,12000,12000,0,126,0.0,0
783,164512812,도메인 주도 설계를 위한 함수형 프로그래밍,코틀린과 타입스크립트로 구현하는 실전 도메인 모델링,스콧 블라신 저/박주형 편역,제이펍,2025년 11월,28800,32000,1600,1290,10.0,6
784,163744828,PyTorch로 배우는 딥러닝과 생성형 AI,"개념부터 Vision, 생성형 모형, Foundation 모형의 구현까지",박유성,자유아카데미,2025년 11월,43000,43000,0,621,3.0,2
785,163598008,직장인을 위한 미드저니 이미지 & 영상 제작,,"고희청, 박범희",성안당,2025년 11월,24300,27000,1350,402,9.7,43
786,162993187,파이썬 for Beginner,쉽고 빠르게 익히는 프로그래밍의 기본 원리,우재남,한빛아카데미,2025년 11월,26000,26000,780,2928,9.0,2
787,162211876,AI 개발자가 되고 싶으세요?,여섯 명의 개발자가 기록한 AI 시대의 생존 전략,"배휘동, 홍석용, 오현우, 정금호, 최남규 저 외 1명
                                        
정보 더 보기/감추기



배휘동
홍석용
오현우
정금호
최남규
김성완",로드북,2025년 11월,22500,25000,1250,630,10.0,5
788,162178083,레트로 게임 만들기 with 파이썬,"핑퐁, 벽돌 깨기, FPS 10개 슈팅 게임으로 마스터하는 파이썬 & Pygame","조수현, 김이현, 이승현, 노근우",루비페이퍼,2025년 11월,31500,35000,1750,882,10.0,1
789,161924116,바이브 코딩,커서 AI와 클로드 코드로 누구나!,이석현,아이콕스(iCox),2025년 11월,24300,27000,1350,1284,0.0,0
790,161918303,운영체제,,"박규석, 배인한 저/김영찬 감수",생능출판사,2025년 11월,28000,28000,0,336,0.0,0
791,161614247,PLAY! SOLIDWORKS 2026 ASSEM&DRAW BASIC,,원동현,청담북스,2025년 10월,19000,20000,400,300,0.0,0
792,161611894,PLAY! SOLIDWORKS 2026 PART BASIC,,원동현,청담북스,2025년 10월,20900,22000,440,480,0.0,0
793,160603535,핸즈온 바이브 코딩,요구사항 정의부터 리팩터링까지 직관이 아닌 원리로 익히는 실전 가이드,정도현,한빛미디어,2025년 10월,19800,22000,1100,1722,9.6,32
794,160497918,파이썬으로 시작하는 머신러닝+딥러닝,"지금 당장 AI 관련 일을 하고 싶거나, 해야만 하는 당신을 위한 책",강지영,아이리포,2025년 11월,25200,28000,1400,1266,10.0,5
795,160471520,이것이 UX/UI 디자인이다,실무 디자인 방법론으로서의 UX/UI 디자인,조성봉,위키북스,2025년 10월,31500,35000,1750,600,0.0,0
796,160409598,코딩 1도 몰라도 커서 AI와 대화하며 7가지 프로그램 만들기,"손글씨 숫자 인식 AI, AI 챗봇, 이미지 분석기 AI, 뉴스 자동 요약 AI, 텍스트 이미지 생성 AI 앱, 주가 예측 AI, 집값 예측 AI","이상용, 정동진",앤써북,2025년 10월,16200,18000,900,1026,10.0,21
797,160136114,SAP Public Cloud와 Private Cloud Edition 완전 정복,,권영근,북랩,2025년 10월,31500,35000,1750,378,10.0,1
798,159636882,"AI 음악 생성기, 수노(큰글자책)",,"양종모, 박은비",커뮤니케이션북스,2025년 10월,25000,25000,0,84,0.0,0
799,159499662,AI와 정밀 의료,,김효정,커뮤니케이션북스,2025년 10월,12000,12000,0,234,0.0,0
800,159417254,나노 바나나,매일매일 쓰는 제미나이 AI,"문수민, 박범희, 앤미디어",생능북스,2025년 11월,21600,24000,1200,14232,9.8,48
801,159257393,AI와 전문직의 미래,,김예성,커뮤니케이션북스,2025년 10월,12000,12000,0,564,0.0,0
802,159171284,가장 상세한 엑셀 함수 대백과,실무에 바로 쓰는 468개 함수&수식 완전 해설,쿠니모토 아츠코 저/류승우 역,영진닷컴,2025년 10월,25200,28000,1400,1746,10.0,22
803,159074904,한글 2022,,전경숙,교학사,2025년 10월,13500,15000,750,258,0.0,0
804,158727530,스타트업 서비스 설계는 처음인데요,"기술 선택부터 인프라 구축, 배포 전략까지 다루는 실전 가이드",강대명,더 타이즈,2025년 10월,29700,33000,1650,2496,10.0,2
805,155152306,"리액트, Next.js로 완성하는 프론트엔드","TypeScript 기본기부터 React, Next.js를 활용한 프로젝트, Git/GitHub까지",강경석,영진닷컴,2025년 10월,32400,36000,1800,1842,10.0,11
806,155062669,예제로 배우는 CATIA V5 기초,,"김한승, 강병호, 김창완",좋은땅,2025년 02월,19800,22000,1100,96,0.0,0
807,155060238,UX 교과서,,앤서니 콘타 저/이미령 역,길벗,2025년 10월,29700,33000,1650,582,9.9,14
808,154648338,할루시네이션을 줄여주는 프롬프트 엔지니어링,"랭체인, RAG, 에이전트로 신뢰성 있는 LLM 활용",한성민,한빛미디어,2025년 09월,28800,32000,1600,858,8.7,6
809,154254878,"돈 되는 AI, 어디서부터 무엇을 어떻게 해야 할까","오라클, 딜로이트, 언스트앤영 출신의 빅데이터·AI 전문가가 알려 주는 AI AGENT 시대 기업이 살아남는 법",장동인,리코멘드,2025년 09월,22500,25000,1250,4398,9.7,7
810,154254873,AI와 미술 교육,,손지현,커뮤니케이션북스,2025년 09월,12000,12000,0,246,0.0,0
811,154238820,디지털 마케팅 용어 도감,일러스트로 이해하는 필수 키워드 256,다케우치 테츠야 저/김모세 역,정보문화사,2025년 09월,20700,23000,1150,390,9.9,30
812,154230854,코딩테스트로 배우는 파이썬 문제 풀이로 문법과 알고리즘을 한 번에 끝내는 실전 입문서,,엄가온,콩콩 컴퍼니,2025년 09월,19300,19300,0,234,0.0,0
813,154159841,요즘 개발자를 위한 시스템 설계 수업,기초 개념부터 X·인스타그램·구글 독스·넷플릭스 사례 학습과 면접 대비까지,"디렌드라 신하, 테자스 초프라 저/양문규 역",길벗,2025년 09월,31500,35000,1750,6444,9.7,19
814,154100759,AI와 여가·관광,,이정은,휴먼북스(교재),2025년 08월,20000,20000,0,84,0.0,0
815,154076881,크리핵티브의 한 권으로 끝내는 웹 해킹 바이블,SQL 인젝션부터 시큐어 코딩까지 이론과 실습으로 익히는 완벽 웹 해킹 가이드,하동민(크리핵티브),한빛미디어,2025년 10월,54000,60000,3000,2382,9.7,31
816,153848263,처음 배우는 명암·구도·배색 : 그리고 싶은 그림을 배우는 일러스트 기초,,시마자키 조제 저/고영자 역,영진닷컴,2025년 09월,18000,20000,1000,1158,9.9,14
817,153613588,헤드 퍼스트 소프트웨어 아키텍처,,"라주 간디, 마크 리처드, 닐 포드 저/유동환, 최영수 역",한빛미디어,2025년 09월,33300,37000,1850,1668,9.2,26
818,153499985,밑바닥부터 시작하는 웹 브라우저,,"파벨 판체카, 크리스 해럴슨 저/이형욱, 최병운 역",한빛미디어,2025년 09월,40500,45000,2250,2250,10.0,5
819,153085270,AI 3대 강국,우리 손으로 만드는 미래,박영선,나남출판사,2025년 09월,16200,18000,0,798,0.0,0
820,153061112,"생성형 AI와 엔트리로 12가지 인공지능 작품 만들기 with 뤼튼, 캔바, 미리캔버스, 투닝, ChatGPT, 위스크, 수노",AI와 엔트리를 활용한 주제별/수준별 12가지 인공지능 작품 만들기,"전진아, 김수연",앤써북,2025년 09월,18900,21000,1050,3372,10.0,11
821,152649327,"미드저니와 ComfyUI로 완성하는, 게임 그래픽",,양영민,비엘북스,2025년 08월,29700,33000,1650,2022,10.0,2
822,152579254,AI와 문화 기술,,김돈정,커뮤니케이션북스,2025년 09월,12000,12000,0,456,10.0,1
823,152363144,초보자도 쉽게 배우는 엑셀 2024 길라잡이,2007~2024 Office365 모든 버전 활용 가능,김영주,정보문화사,2025년 09월,20700,23000,1150,966,9.7,28
824,152307412,AI와 국악 창작 교육,,"권혜근, 정영선",커뮤니케이션북스,2025년 08월,12000,12000,0,144,0.0,0
825,152302455,데이터 리터러시를 높이는 데이터 시각화,숫자를 메시지로 바꾸는 스토리텔링과 그래프 작성,네이선 야우 저/한상택 역,인사이트(insight),2025년 09월,29700,33000,1650,1662,0.0,0
826,152026446,프롬프트 엔지니어의 업무 가이드북,AI AGENT의 기획자,최영우,책과나무,2025년 08월,19800,22000,1100,564,0.0,0
827,151881498,쓱 하고 싹 배우는 미리캔버스,,김영미,영진닷컴,2025년 08월,12600,14000,700,1236,0.0,0
828,151789405,정지훈의 양자 컴퓨터 강의,AI 다음의 게임 체인저 양자 컴퓨터의 모든 것,정지훈,한빛미디어,2025년 08월,21600,24000,1200,12552,9.5,23
829,151780100,된다! 하루 만에 만드는 AI 사진 & 이미지,"챗GPT부터 미드저니까지 다 통한다! 광고 사진, 카드 뉴스, 섬네일, AI 인물 모델 등 인스타그램, 유튜브, 블로그 어디든 활용 가능!",김원석,이지스퍼블리싱,2025년 08월,16020,17800,890,3942,10.0,40
830,151761784,Do it! 알고리즘 코딩 테스트 파이썬 편,코딩 테스트를 처음 경험하는 취준생의 필독서,김종관,이지스퍼블리싱,2025년 09월,31500,35000,1750,2136,7.0,8
831,151682700,라즈베리파이5로 구현하는 사물인터넷(IoT)과 인공지능(AI) 자율주행 자동차,사물인터넷(IoT) 기초부터 자율주행까지,"이현, 김경연, 김명생",광문각,2025년 08월,26000,26000,0,474,0.0,0
832,151379311,돌꿈_컴기초꿈트리(윈도우11_AI 친구들),,KIE 기획연구실 저/방컴(쌤과 아이들) 감수,아카데미소프트,2025년 09월,12600,14000,700,1386,0.0,0
833,151347071,데이터ㆍAI 시스템 아키텍트를 위한 실무 가이드,"데이터 사이언스 기초부터 장애복구와 고가용성 설계까지, AI 시스템 설계 실전 전략",윤대희,위키북스,2025년 08월,37800,42000,2100,636,0.0,0
834,151170115,챗GPT와 엑셀로 만드는 주식 & 암호화폐 자동매매 시스템,엑셀 VBA와 AI로 시작하는 금융 프로그래밍,설근민,제이펍,2025년 08월,22500,25000,1250,2496,9.8,9
835,151152657,AI 영상×미드저니·런웨이·소라·클링·하이루오,귀찮고 복잡한 일은 AI에게 맡기고 나는 상상에 집중한다,안재홍,길벗,2025년 08월,23400,26000,1300,4086,9.6,16
836,151045539,그림으로 개념 잡는 네트워크 입문,아주 친절한 104개의 그림을 보면 자연스럽게 이해되는 네트워크 구조와 동작 원리!,C.I.K,앤써북,2025년 08월,15930,17700,880,420,9.3,3
837,150866742,LLM 상담과 심리 치료,,강수정,커뮤니케이션북스,2025년 08월,12000,12000,0,210,0.0,0
838,150795058,딥러닝 제대로 이해하기,딥러닝의 핵심 개념부터 최신 기법까지 이론과 실제의 균형을 담은 깊이 있는 안내서,사이먼 J. D. 프린스 저/고연이 역,제이펍,2025년 08월,34200,38000,1900,2883,9.7,7
839,150724085,챗GPT와 함께하는 주식 데이터 분석,"파이썬을 몰라도, 누구나 따라 할 수 있는 주식 종목 분석과 예측",이진규 저/김동준 감수,영진닷컴,2025년 08월,19800,22000,1100,2328,9.5,22
840,150709449,교사를 위한 실무 한글 _ 학교 업무 효율성 높이는 66제,"문서 작성 기초 떼고 스타일, 상용구, 메일머지, 공문서, 보고서, 수업자료, 눌라운 꿀팁까지",한동규,앤써북,2025년 08월,15930,17700,880,3120,9.8,19
841,150556693,챗GPT 공부 혁명,개념 학습부터 수행탐구까지 국영수사과 과목별 AI 공부법,"전지영, 백수현, 이효진, 장수영, 손소영",포르체,2025년 08월,20700,23000,1150,1650,9.9,16
842,150321727,AI와 미래 자율 제조,,"원홍인, 이상아, 윤종필, 이상목",커뮤니케이션북스,2025년 08월,12000,12000,0,168,0.0,0
843,150240159,Do it! 알고리즘 코딩 테스트 C++ 편,코딩 테스트를 처음 경험하는 취준생의 필독서,김종관,이지스퍼블리싱,2025년 08월,35100,39000,1950,1710,10.0,6
844,150027797,기업과 고객을 파괴하는 해킹과 사이버 보안의 모든 것,"취약점, 랜섬웨어, 악성코드 위협부터 디지털 포렌식, AI보안까지 안전한 사이버 공간을 위한 올바른 보안 지식","유진 스파포드, 리 메트칼프, 조사이어 다이크스트라 저/김경곤, 장은경 역 외 1명
                                        
정보 더 보기/감추기



유진 스파포드
리 메트칼프
조사이어 다이크스트라
김경곤
장은경
박기성",책만,2025년 08월,29700,33000,1650,2226,10.0,6
845,149866407,AI와 디지털 헬스케어,,임미가,커뮤니케이션북스,2025년 08월,12000,12000,0,192,0.0,0
846,149745776,만화로 쉽게 배우는 시계열 분석,,다카하시 이치로 저/권기태 역,성안당,2025년 07월,16200,18000,900,252,0.0,0
847,149680614,아는 만큼 보이는 생성형 AI,"챗GPT, 제미나이, 클로드, 클로바X, 달리, 미드저니, 스테이블 디퓨전, 수노, 유디오까지 한 권으로 보는 생성형 AI 기술과 트렌드",김주영,길벗,2025년 07월,19800,22000,1100,1692,9.7,26
848,149659316,가장 쉬운 독학 캔바 첫걸음,"자영업자, N잡러, 크리에이터, 마케터, 교사는 물론 일반 직장인까지 캔바를 활용하면 누구나 쉽고 빠르게 전문가처럼 디자인할 수 있다!","원정민, 조영진, 신명진, 이상수",동양북스(동양books),2025년 07월,24750,27500,1370,1548,9.9,23
849,149432094,오늘부터 회사에서 AI 합니다,,"이활석, 업스테이지 AI 교육 부문",디지털북스,2025년 07월,19800,22000,1100,888,10.0,11
850,149421496,쉽게 배우는 운영체제,,조성호,한빛아카데미,2025년 07월,33000,33000,0,3240,10.0,3
851,149405513,라이노 3D로 주얼리를 만들자,,김현철,창조와지식,2025년 07월,23400,26000,1300,144,10.0,1
852,149374586,AI 의인화,,"김보경, 김소연",커뮤니케이션북스,2025년 07월,12000,12000,0,84,0.0,0
853,149243919,구글 AI Gemini 그림 초등왕,그림 그리는 우리 아이를 위한 AI 안내서!,코딩 코치스,BOOKK(부크크),2025년 07월,15800,15800,0,222,0.0,0
854,149193207,인프라 엔지니어의 교과서,IT 인프라 세계의 첫 길잡이,사노 유타카 저/김성훈 역,길벗,2025년 07월,19800,22000,1100,1698,10.0,11
855,148848952,AI 융합 교육 교사,,김귀훈,커뮤니케이션북스,2025년 07월,12000,12000,0,120,0.0,0
856,148767861,생성형 AI를 활용한 논문 작성법,,김귀훈,홍릉,2025년 06월,29000,29000,0,990,0.0,0
857,148704026,마인크래프트 건축 가이드 마법 프로젝트,,Mojang Studio 저/강세중 역,영진닷컴,2025년 07월,12600,14000,700,1080,10.0,2
858,148703391,파이썬으로 배우는 소프트웨어와 인공지능,,"조행래, 윤종희, 서영석, 박영덕",영남대학교출판부(知YU智),2025년 06월,25000,25000,0,168,0.0,0
859,148420115,인공 인간,인공지능 그리고 마음의 미래,"수잔 슈나이더 저/이해윤, 김성묵 역",한울아카데미,2024년 05월,22000,22000,0,120,0.0,0
860,148368955,잘 통하는 보고서 작성의 비밀,"1,000만 직장인을 위한 성공적인 보고서 작성의 4가지 조건",임영균,한빛미디어,2025년 07월,18000,20000,1000,2322,9.6,32
861,148350160,AI 에디터 커서 Cursor 완벽 가이드,,키노시타 유이치로 저/김모세 역,영진닷컴,2025년 07월,19800,22000,1100,2712,9.5,8
862,148184558,따라 하며 배우는 유니티 게임 개발,프로그래밍 없이도 누구나 쉽게 만드는 2D & 3D 게임,"아라카와 다쿠야, 아사노 유이치 저/윤준 역",한빛미디어,2025년 06월,21600,24000,1200,1008,9.3,3
